data_date,I1
2018-04-18,15.84
2018-04-19,15.27
2018-04-20,15.48
2018-04-23,15.36
2018-04-24,15.83
2018-04-25,15.1
2018-04-26,15.74
2018-04-27,16.15
2018-04-28,16.5
2018-05-02,15.18
2018-05-03,15.49
2018-05-04,14.96
2018-05-07,15.52
2018-05-08,15.3
2018-05-09,15.73
2018-05-10,15.73
2018-05-11,15.94
2018-05-14,14.9
2018-05-15,15.58
2018-05-16,15.09
2018-05-17,15.05
2018-05-18,16.19
2018-05-21,15.9
2018-05-22,15.76
2018-05-23,15.41
2018-05-24,15.57
2018-05-25,16.64
2018-05-28,16.96
2018-05-29,15.59
2018-05-30,16.26
2018-05-31,16.05
2018-06-01,16.32
2018-06-04,15.4
2018-06-05,16.09
2018-06-06,15.63
2018-06-07,15.93
2018-06-08,15.7
2018-06-11,15.99
2018-06-12,16.41
2018-06-13,14.95
2018-06-14,15.81
2018-06-15,16.5
2018-06-19,16.57
2018-06-20,16.74
2018-06-21,15.46
2018-06-22,15.72
2018-06-25,15.15
2018-06-26,15.26
2018-06-27,15.34
2018-06-28,15.0
2018-06-29,16.22
2018-07-02,16.62
2018-07-03,16.34
2018-07-04,16.87
2018-07-05,14.47
2018-07-06,14.81
2018-07-09,15.69
2018-07-10,14.84
2018-07-11,14.82
2018-07-12,15.36
2018-07-13,15.86
2018-07-16,15.23
2018-07-17,15.8
2018-07-18,15.41
2018-07-19,16.37
2018-07-20,16.14
2018-07-23,15.66
2018-07-24,16.67
2018-07-25,15.5
2018-07-26,16.07
2018-07-27,16.55
2018-07-30,15.8
2018-07-31,16.1
2018-08-01,15.21
2018-08-02,16.58
2018-08-03,16.07
2018-08-06,15.67
2018-08-07,15.9
2018-08-08,15.78
2018-08-09,15.42
2018-08-10,16.91
2018-08-13,15.29
2018-08-14,15.97
2018-08-15,15.95
2018-08-16,16.14
2018-08-17,16.88
2018-08-20,16.5
2018-08-21,16.04
2018-08-22,16.44
2018-08-23,16.0
2018-08-24,16.21
2018-08-27,16.59
2018-08-28,16.99
2018-08-29,16.03
2018-08-30,16.18
